listing_id,has_availability,availability_30,availability_60,availability_90,availability_365
4050950,TRUE,26,47,75,345
2467149,FALSE,0,0,0,0
2467163,FALSE,0,0,0,0
2855712,TRUE,30,60,90,180
2867059,TRUE,8,30,59,59
2467384,TRUE,0,9,39,39
2467411,FALSE,0,0,0,0
4054044,TRUE,19,47,77,286
2885662,TRUE,25,55,85,352
4060699,TRUE,0,0,0,0
2474321,FALSE,0,0,0,0
2474359,FALSE,0,0,0,0
2914322,TRUE,0,0,0,0
2474432,FALSE,0,0,0,0
2926708,TRUE,6,23,42,222
2476940,TRUE,0,0,0,0
4066631,TRUE,30,60,90,365
2941755,TRUE,0,0,0,0
4067158,TRUE,11,26,56,305
2477149,TRUE,23,53,83,83
2964193,FALSE,0,0,0,0
2477580,TRUE,0,0,0,0
4076557,TRUE,0,3,33,106
2979222,TRUE,26,56,83,337
4077459,TRUE,0,0,5,280
4082265,TRUE,30,60,90,270
2984602,TRUE,11,41,71,276
2482898,FALSE,0,0,0,0
2482916,TRUE,27,57,87,362
2989481,TRUE,4,34,35,280
2483752,FALSE,0,0,0,0
4085163,TRUE,28,56,77,327
4085926,TRUE,5,35,45,45
2989616,TRUE,10,10,10,183
2992224,TRUE,30,60,68,315
4092112,TRUE,0,0,0,0
2488935,FALSE,0,0,0,0
2994424,TRUE,17,38,64,274
4095705,TRUE,8,38,68,247
3032156,TRUE,12,36,66,312
4102866,TRUE,0,0,0,0
2489487,FALSE,0,0,0,0
2492407,TRUE,0,0,0,0
3041605,TRUE,30,60,90,349
4103238,TRUE,29,59,88,323
3053308,TRUE,0,0,0,0
4103988,FALSE,0,0,0,0
2493385,TRUE,30,60,90,175
2496308,TRUE,0,0,0,0
3091862,TRUE,10,40,70,92
4112403,TRUE,0,0,0,254
3104453,TRUE,10,40,70,160
4117663,FALSE,0,0,0,0
4117827,FALSE,0,0,0,0
2500385,TRUE,26,56,86,356
3104715,TRUE,25,53,83,173
2501144,FALSE,0,0,0,0
2501145,FALSE,0,0,0,0
3111194,TRUE,0,0,20,109
4121482,TRUE,0,0,0,0
3122479,TRUE,24,50,80,167
4121676,TRUE,15,45,75,87
2501888,TRUE,29,59,89,356
2502288,TRUE,0,0,0,0
3124593,TRUE,0,9,39,296
2502431,FALSE,0,0,0,0
4137101,TRUE,0,0,0,0
4141322,FALSE,0,0,0,0
4144319,TRUE,0,0,0,0
2509594,FALSE,0,0,0,0
3125271,TRUE,0,0,0,0
2512706,FALSE,0,0,0,0
3151369,TRUE,30,60,90,93
2516299,TRUE,30,60,86,243
4145599,TRUE,0,0,21,169
4150237,FALSE,0,0,0,0
3154788,TRUE,30,60,90,365
4151136,FALSE,0,0,0,0
4154464,TRUE,0,0,0,0
2519952,FALSE,0,0,0,0
2521003,TRUE,27,51,81,161
3163510,TRUE,25,52,82,342
2521310,FALSE,0,0,0,0
4156208,FALSE,0,0,0,0
4163685,TRUE,0,0,0,229
3214547,TRUE,19,46,70,322
4164084,TRUE,0,12,42,317
2521443,FALSE,0,0,0,0
3225770,TRUE,0,0,0,144
2524101,TRUE,30,60,90,365
4164781,TRUE,16,31,39,280
3230604,TRUE,0,0,0,0
4171527,TRUE,20,50,80,344
2526099,TRUE,0,0,0,0
3271554,TRUE,0,0,0,0
2528473,TRUE,15,45,73,335
2528829,FALSE,0,0,0,0
3271751,FALSE,0,0,0,0
4171708,TRUE,20,45,73,158
4171932,TRUE,0,0,0,0
2529203,TRUE,0,0,0,0
3281553,TRUE,11,41,71,239
2546012,TRUE,0,0,27,207
3294395,TRUE,29,59,89,361
2551278,FALSE,0,0,0,0
4174180,TRUE,16,46,76,162
3294758,TRUE,0,0,0,0
4174892,TRUE,19,46,76,163
4184049,TRUE,12,28,44,241
2553977,TRUE,0,0,0,0
2558549,TRUE,0,0,0,0
2607561,TRUE,27,57,87,362
3349126,TRUE,15,38,55,142
2639623,TRUE,0,21,34,34
3349679,TRUE,0,0,18,108
4596762,FALSE,0,0,0,0
4184743,TRUE,4,4,12,12
4186778,TRUE,22,44,71,154
4191216,TRUE,15,45,75,161
4645766,TRUE,7,37,67,264
3386939,TRUE,21,51,79,326
3404974,TRUE,0,23,53,233
4678565,TRUE,0,0,8,122
4194853,TRUE,29,59,89,179
4195180,TRUE,0,0,26,116
4196884,TRUE,29,59,76,351
3416245,TRUE,1,1,15,15
4198303,TRUE,24,54,84,257
4198456,TRUE,23,53,83,358
4199426,FALSE,0,0,0,0
4718108,TRUE,30,60,90,365
4719452,TRUE,0,0,0,0
3424259,TRUE,13,17,47,47
4734283,FALSE,0,0,0,0
4742900,TRUE,0,0,8,283
4202378,TRUE,11,38,53,279
3432804,TRUE,0,0,0,161
4756372,TRUE,15,37,64,217
3432834,TRUE,24,48,78,154
4764568,TRUE,28,58,88,354
4204808,TRUE,0,0,0,0
3475010,TRUE,0,0,22,281
4217792,TRUE,30,60,90,365
4774398,TRUE,22,48,72,337
3478000,TRUE,9,25,51,204
4775925,TRUE,0,0,0,128
4218296,FALSE,0,0,0,0
4219001,TRUE,30,60,90,360
3495822,FALSE,0,0,0,0
3513732,TRUE,0,0,8,280
4224760,TRUE,29,59,89,89
4776659,TRUE,0,0,0,0
3534046,TRUE,0,9,39,223
4795682,TRUE,20,50,59,312
4224800,TRUE,27,57,87,358
4225262,TRUE,28,58,88,178
4227584,FALSE,0,0,0,0
3539813,TRUE,0,0,0,131
4800040,TRUE,0,0,0,0
3543315,FALSE,0,0,0,0
4808400,TRUE,0,0,0,0
4235207,FALSE,0,0,0,0
3543410,TRUE,7,25,51,120
4235416,TRUE,6,26,48,48
4809429,TRUE,0,0,0,0
3548997,TRUE,0,0,18,108
4811246,TRUE,16,20,50,229
4814446,TRUE,24,51,80,334
4815071,TRUE,27,57,87,319
4236671,TRUE,30,60,90,365
4242159,FALSE,0,0,0,0
3549253,TRUE,30,60,90,177
4243313,FALSE,0,0,0,0
3549443,TRUE,30,60,90,180
3567906,TRUE,0,0,0,0
4244284,FALSE,0,0,0,0
4820267,TRUE,1,1,1,261
3603024,TRUE,29,59,89,355
4821958,TRUE,2,32,62,109
4250366,FALSE,0,0,0,0
3609272,TRUE,16,45,75,157
4255787,TRUE,0,4,34,123
4848222,TRUE,25,48,75,326
3613678,TRUE,0,0,0,0
4849820,TRUE,29,59,89,179
4856743,TRUE,29,53,77,141
4256978,FALSE,0,0,0,0
4258466,FALSE,0,0,0,0
3615030,TRUE,29,59,89,269
4267874,TRUE,0,25,54,54
3629021,TRUE,4,4,31,241
4278536,TRUE,26,54,84,350
4871772,TRUE,0,0,0,0
4871898,FALSE,0,0,0,0
4881360,TRUE,29,55,85,347
3637181,TRUE,20,21,29,143
4886509,FALSE,0,0,0,0
4279470,TRUE,0,0,0,0
4279738,TRUE,0,0,18,198
3638500,TRUE,0,0,0,50
4284646,FALSE,0,0,0,0
4288292,TRUE,6,6,32,212
4900223,TRUE,0,0,0,0
4901443,TRUE,15,20,29,30
4905837,FALSE,0,0,0,0
3649811,TRUE,11,32,32,32
4906604,TRUE,17,47,77,164
4288403,TRUE,22,43,43,43
3654144,TRUE,0,0,0,39
3689085,TRUE,18,41,71,161
4289075,FALSE,0,0,0,0
